ID,TIME,Numerical_1,Numerical_2,Numerical_3,Numerical_4,Numerical_5,Numerical_6,Numerical_7,Categorical_1,Categorical_2,Categorical_3,Categorical_4,Categorical_5,DateVariable_1,DateVariable_2,OLD_SCORE,WEIGHT,REJECTED,DEF,FPD,BASE,DAY,MONTH,data_type
1,2017-01-01 1:00,1.4752483180000002,0.87833256,,3.172916644,2.035332083,1.6048483180000002,0.74413256,CCC,DDD,AAA,,DDD,1996-10-22 20:11,2016-04-17 17:07,0.48072787200000006,2,0,0.0,0.0,1,20170101,201701,hoot
2,2017-01-01 1:48,0.816270895,1.030066324,,1.544055774,3.6165506389999997,0.990670895,1.038666324,CCC,CCC,BBB,CCC,,1981-07-11 12:27,2016-04-11 14:29,0.374431309,1,0,0.0,0.0,1,20170101,201701,hoot
3,2017-01-01 2:50,1.188422102,0.7593205820000001,2.932846497,1.301870591,,1.007422102,0.912320582,FFF,III,BBB,GGG,CCC,1935-07-25 15:57,2016-12-29 15:06,0.8707573000000001,3,0,0.0,0.0,1,20170101,201701,hoot
4,2017-01-01 2:54,1.5430557719999998,1.943230796,,0.17638519,0.503894469,1.617855772,1.8412307959999998,BBB,GGG,BBB,DDD,CCC,1947-11-26 4:11,2016-03-27 19:14,0.750132935,5,0,1.0,1.0,1,20170101,201701,hoot
5,2017-01-01 2:56,0.364222969,0.295600353,0.6998903190000001,,0.319073343,0.49862296899999997,0.108800353,DDD,BBB,BBB,,,1931-04-02 15:49,2016-04-04 7:37,0.593182373,5,0,0.0,0.0,1,20170101,201701,hoot
6,2017-01-01 2:56,1.846759944,0.714046587,1.147440732,0.30846542600000004,0.256607021,1.8555599440000001,0.798846587,GGG,GGG,CCC,DDD,BBB,1936-09-04 14:32,2016-02-23 21:25,0.393622405,2,0,0.0,0.0,1,20170101,201701,hoot
7,2017-01-01 2:57,4.21300714,0.9223350840000001,0.867874134,2.212823169,3.99924304,4.26360714,0.892735084,CCC,GGG,AAA,CCC,DDD,1995-05-16 20:34,2016-08-01 8:17,0.6956715170000001,3,1,,,0,20170101,201701,hoot
8,2017-01-01 3:13,1.290580162,1.420935514,,0.20190597600000001,0.567100733,1.194780162,1.563735514,BBB,HHH,AAA,DDD,,1960-03-16 9:52,2016-07-12 21:14,0.523578319,1,1,,,0,20170101,201701,hoot
9,2017-01-01 3:14,2.103211815,0.296357982,1.3904203309999998,1.340345097,0.8511552370000001,2.180811815,0.478957982,CCC,DDD,BBB,,BBB,1954-04-10 1:43,2016-03-31 19:39,0.37806009,4,0,0.0,0.0,1,20170101,201701,hoot
10,2017-01-01 3:19,1.4070286490000001,1.798268608,0.668692775,4.407885683,7.254793479,1.397428649,1.631468608,EEE,CCC,CCC,,,1988-02-14 0:28,2016-03-22 21:20,0.38268277100000003,1,0,0.0,0.0,1,20170101,201701,hoot
