SKP_CREDIT_CASE,NUM_GROUP_POSITION,DOCUMENT_TYPE,ELECTRONIC_NATIONAL_ID,IS_PRIMARY
116,0,NATIONAL_ID,0,TRUE
116,1,PUBLIC_TRANSPORT_CARD,,FALSE
116,2,HEALTH_INSURANCE_CARD,,FALSE
116,3,BIRTH_CERTIFICATE,,FALSE
116,4,TAX_ID,,FALSE
117,0,NATIONAL_ID,0,TRUE
117,1,STUDENT_CARD,,FALSE
118,0,NATIONAL_ID,1,TRUE
118,1,STUDENT_CARD,,FALSE
118,2,PASSPORT,,FALSE
119,0,NATIONAL_ID,0,TRUE
119,1,HEALTH_INSURANCE_CARD,,FALSE
119,2,BIRTH_CERTIFICATE,,FALSE
120,0,BIRTH_CERTIFICATE,,FALSE
120,1,NATIONAL_ID,0,TRUE
121,0,NATIONAL_ID,1,TRUE
121,1,BIRTH_CERTIFICATE,,FALSE
121,2,HEALTH_INSURANCE_CARD,,FALSE
122,0,NATIONAL_ID,0,TRUE
122,1,BIRTH_CERTIFICATE,,FALSE
122,2,HEALTH_INSURANCE_CARD,,FALSE
122,3,DRIVERS_LICENSE,,FALSE
123,0,NATIONAL_ID,1,TRUE
123,1,DRIVERS_LICENSE,,FALSE
124,0,PASSPORT,,TRUE
124,1,BIRTH_CERTIFICATE,,FALSE
124,2,DRIVERS_LICENSE,,FALSE
124,3,VEHICLE_DOCUMENT,,FALSE
124,4,STUDENT_CARD,,FALSE
124,5,HEALTH_INSURANCE_CARD,,FALSE
125,0,PASSPORT,,TRUE
125,1,BIRTH_CERTIFICATE,,FALSE
125,2,TAX_ID,,FALSE
125,3,HEALTH_INSURANCE_CARD,,FALSE
