id,x0,x1,x2,x3,x4,s0,s1,y0,y1,y2,y3,y4,b0,b1,b2,b3,b4
0,0.8020962357579717,0.3498134569721765,0.7551858127340905,0.5220717913477055,0.7233764980288323,B,low,1,1,1,0,0,1,1,1,1,1
1,0.21609421795587724,0.1263751266519325,0.44047593808256524,0.4797100621554421,0.7943469252763441,F,high,1,1,1,1,1,1,1,1,1,1
2,0.7284115161031577,0.24821973253865748,0.8077329090830335,0.3626193841239207,0.00504780126324611,A,high,0,0,0,0,0,1,1,1,1,1
3,0.27076699955070405,0.67793357468482,0.363964170788311,0.5442958081203578,0.3216035694777193,F,mid,0,1,1,0,0,1,1,1,1,1
4,0.23629587304267008,0.2436635645579156,0.49067908806025307,0.2220621060180331,0.3881653032757272,F,mid,1,1,1,1,1,1,1,1,1,1
5,0.5971245749641676,0.566212630329151,0.7918133225376749,0.7596603001385579,0.17354098041806643,C,mid,1,1,1,0,0,1,1,1,1,1
6,0.8108653759610208,0.924009519992096,0.25645482880359094,0.7077936403867083,0.1649730331800685,J,high,1,1,1,1,1,1,1,1,1,1
7,0.12344983741267168,0.41985759827662517,0.012281601479505744,0.08375782635930662,0.9668581300250675,B,mid,1,1,1,0,0,1,1,1,1,1
8,0.21668444315508983,0.47606275965308353,0.020216863591266288,0.12556267632751772,0.40323268966680414,F,mid,1,1,1,1,1,1,1,1,1,1
9,0.010333393871390872,0.893109788969863,0.08925491019144027,0.5617365363328681,0.6618794774664618,J,high,1,1,1,1,1,1,1,1,1,1
10,0.996952171502904,0.03974928277914069,0.6564448120113293,0.7701540080444835,0.8876120121238822,I,low,0,0,0,0,0,1,1,1,1,1
11,0.742998459735921,0.45361098239244335,0.46022776321656644,0.6199120455582303,0.41706687840826784,D,low,0,0,0,0,0,1,1,1,1,1
12,0.18683785269776088,0.051853192266420156,0.19462894997606883,0.14135594637738003,0.7638327221349721,E,high,0,0,0,0,0,1,1,1,1,1
13,0.365841638411617,0.5129542939979073,0.35855151217006254,0.8006717042225805,0.7407451706834683,J,high,1,1,1,1,1,1,1,1,1,1
14,0.9679754580893369,0.209790944377089,0.14762869517529154,0.49282310209478186,0.5059582568772905,H,mid,1,1,1,0,0,1,1,1,1,1
15,0.8103290603451527,0.7891089665888464,0.6601472778339629,0.6443686561863395,0.1016272656077788,E,mid,1,1,1,1,1,1,1,1,1,1
16,0.13004161668312852,0.2776311636923867,0.9287138634871552,0.17057656419051825,0.9602806175092162,G,mid,1,1,1,1,1,1,1,1,1,1
17,0.5846767239499524,0.45602321606551677,0.5559071314391192,0.9711930325196916,0.41232068465067506,D,mid,0,0,0,0,0,1,1,1,1,1
18,0.23048183752107854,0.9859753453828141,0.1435959059989813,0.851236285012804,0.2410653786867486,C,high,0,0,0,0,0,1,1,1,1,1
19,0.6987605135653043,0.7835562538121394,0.8399626213131142,0.6894016694934115,0.8517507116018509,A,mid,0,0,0,0,0,1,1,1,1,1
20,0.7068636186658889,0.3274127549030552,0.020656047850902914,0.09121707620275021,0.4297137714250435,D,mid,1,1,1,1,1,1,1,1,1,1
21,0.6258634437460987,0.4693127111218701,0.9552714643623966,0.38595258083298867,0.5234510099388912,A,mid,0,0,0,0,0,1,1,1,1,1
22,0.6938373907187123,0.11048872271167787,0.19758352288651326,0.31674759942603004,0.4051971070834228,E,low,0,0,0,0,0,1,1,1,1,1
23,0.44951789340539383,0.35920867953385494,0.8186364639290555,0.214570883405387,0.7504733905654656,F,low,0,0,0,0,0,1,1,1,1,1
24,0.749499719284956,0.22076138191470307,0.26064538139358384,0.4513716269532356,0.05635512157864231,J,mid,1,1,1,1,1,1,1,1,1,1
25,0.47404230786429136,0.9449170119426645,0.5209008459474725,0.5999815466291796,0.07949016138253984,C,mid,0,0,0,0,0,1,1,1,1,1
26,0.5710703388666235,0.2553313492971069,0.17403104508849887,0.6045264613532566,0.9744613702029737,H,mid,1,1,1,1,1,1,1,1,1,1
27,0.34760049384203917,0.32580288476226116,0.7124531367930547,0.002780791061428145,0.6631456334201674,I,low,0,1,0,0,0,1,1,1,1,1
28,0.7285530722121739,0.389247650733865,0.14178062203168873,0.5872800141110981,0.35409587846307855,J,low,1,1,1,1,1,1,1,1,1,1
29,0.705091663135783,0.3473508652492746,0.9292802321300091,0.894750556798525,0.337801355729315,I,mid,0,0,0,0,0,1,1,1,1,1
