SKP_CREDIT_CASE,NUM_GROUP_POSITION,DOCUMENT_TYPE,ELECTRONIC_NATIONAL_ID,IS_PRIMARY
108,0,PASSPORT,,TRUE
108,1,PUBLIC_TRANSPORT_CARD,,FALSE
108,2,TAX_ID,,FALSE
108,3,DRIVERS_LICENSE,,FALSE
108,4,VEHICLE_DOCUMENT,,FALSE
109,0,PASSPORT,,TRUE
109,1,BIRTH_CERTIFICATE,,FALSE
110,0,NATIONAL_ID,0,TRUE
110,1,BIRTH_CERTIFICATE,,FALSE
111,0,NATIONAL_ID,1,TRUE
111,1,PASSPORT,,FALSE
111,2,HEALTH_INSURANCE_CARD,,FALSE
112,0,PASSPORT,,FALSE
112,1,NATIONAL_ID,1,TRUE
112,2,DRIVERS_LICENSE,,FALSE
112,3,VEHICLE_DOCUMENT,,FALSE
113,0,HEALTH_INSURANCE_CARD,,FALSE
113,1,NATIONAL_ID,0,TRUE
113,2,BIRTH_CERTIFICATE,,FALSE
113,3,DRIVERS_LICENSE,,FALSE
113,4,VEHICLE_DOCUMENT,,FALSE
113,5,TAX_ID,,FALSE
114,0,NATIONAL_ID,1,TRUE
114,1,DRIVERS_LICENSE,,FALSE
114,2,VEHICLE_DOCUMENT,,FALSE
114,3,TAX_ID,,FALSE
115,0,NATIONAL_ID,0,TRUE
115,1,HEALTH_INSURANCE_CARD,,FALSE
115,2,PUBLIC_TRANSPORT_CARD,,FALSE
115,3,TAX_ID,,FALSE
